d,Training ASE,Testing ASE
2,24.4754724802,24.241853383
4,24.2567037778,23.8384480809
6,24.3906000571,23.6289116309
8,24.0163782206,24.1670607291
10,24.0518938968,25.0582973058
12,23.6775048717,26.7203146387
14,23.9492858846,24.3612433815
16,23.7990730949,25.8708617808
18,22.3942033306,25.0719266519
20,22.7704120688,25.4343497801
22,22.9761356019,25.3842284899
24,23.0428073551,24.5945995559
26,23.3944000752,23.2940623048
28,23.0184150333,27.0893019391
30,21.6320097044,29.0884129387
32,22.1965302382,23.152647222
34,22.224209732,26.8809951962
36,22.524006196,26.6383925607
38,21.7664297382,24.1542277016
40,21.6666132638,24.9776385314
42,21.8857820176,28.9447875575
44,20.3801781886,28.4323075681
46,21.6832714108,24.8222295656
48,21.6735381974,28.6277027014
50,21.7308829902,26.0326722961
52,20.8562035548,25.3735498934
54,21.0523501361,27.4045912123
56,20.1486405631,25.1660102891
58,20.13558671,30.6255900793
60,20.8128765717,29.9112056811
62,19.943591751,29.922784944
64,20.2260217076,29.4959485729
66,20.6886261609,30.4293994282
68,19.296786434,26.407933879
70,20.2882092416,32.494489908
72,20.3604890914,22.350232954
74,19.9244102305,26.9641578321
76,18.658527315,27.436919078
78,20.104074161,29.2076126037
80,20.3566518362,25.9815448651
82,19.3913431066,36.789767991
84,18.83933983,34.3336859628
86,18.05258067,36.4844819793
88,19.4782918102,34.4866198449
90,19.9773607343,27.3997949293
92,17.9964081118,34.5195959948
94,19.4301892557,28.2166355093
96,19.4298503076,28.797753025
98,18.3816490035,23.2380039203
